month,n_days,total_mean,total_sd,port,eopl,wopl,ci95,index,container,arrivals,bunker
2022-04,6,331.0,36.17181222996714,91.0,72.0,55.333333333333336,28.94347779149332,89.8832332619256,3042.01,7608.0,3749.9300000000003
2022-05,3,358.6666666666667,11.0151410945722,102.66666666666667,73.66666666666667,66.66666666666667,12.46480556518142,97.39613191322454,3122.01,7815.0,4043.9700000000003
2022-06,5,373.4,34.580341236025994,108.0,75.8,64.2,30.311005526046138,101.39697673716924,3166.23,8301.0,3755.85
2022-07,2,391.0,60.81118318204309,117.5,82.0,71.0,84.28,106.17626648161,3286.33,9044.0,4119.219999999999
2022-08,4,362.0,9.128709291752767,104.5,77.0,66.0,8.946135105917712,98.3013004254292,3262.31,9129.0,4116.33
2022-09,6,352.0,38.382287581643695,90.66666666666667,75.5,65.16666666666667,30.71222644702486,95.58579488881514,3063.77,8976.0,3959.52
2022-10,4,371.25,32.23223024655084,102.75,87.25,64.75,31.587585641619825,100.81314304679722,3061.84,9451.0,4252.67
2022-11,6,370.0,10.256705123966467,109.5,84.0,62.166666666666664,8.20707337199646,100.47370485472047,2955.47,9442.0,4375.63
2022-12,4,361.5,29.647934160747184,110.25,82.25,55.25,29.05497547753224,98.1655251485985,3252.9,10081.0,4217.86
2023-01,4,388.0,10.392304845413268,118.5,85.5,70.75,10.184458748505001,105.36161482062577,2989.5,10035.0,4378.32
2024-01,4,386.5,52.475391057777436,109.0,84.5,67.5,51.425883236621885,104.95428899013368,3306.12,10872.0,4906.1
2024-02,6,400.0,18.165902124584953,115.33333333333333,91.16666666666667,69.83333333333333,14.535749034707504,108.62022146456266,3171.92,9987.0,4509.320000000001
2024-03,4,375.5,22.47220505424423,103.75,85.25,59.25,22.022760953159345,101.9672328998582,3491.71,10678.0,4445.08
2024-04,6,339.1666666666667,42.59303542442903,93.16666666666667,86.5,47.166666666666664,34.08152643947223,92.1008961168271,3388.59,10066.0,4232.17
2024-05,2,323.0,42.42640687119285,88.5,78.0,56.5,58.8,87.71082883263435,3537.81,10717.0,4826.85
2024-06,3,359.6666666666667,29.399546481762826,106.33333333333333,78.66666666666667,60.0,33.26871870758542,97.66768246688594,3353.67,10107.0,4274.91
2024-07,2,379.0,29.698484809834994,112.5,87.0,64.0,41.15999999999999,102.91765983767311,3574.24,10632.0,4653.76
2024-08,5,351.0,42.8485705712571,105.2,82.6,58.4,37.55842808212292,95.31424433515373,3606.54,10796.0,4559.46
2024-09,4,384.5,25.093159758521185,103.5,86.25,63.75,24.59129656335076,104.41118788281085,3292.82,10292.0,4383.05
2024-10,4,383.75,19.259196937221102,107.5,99.75,60.75,18.87401299847668,104.20752496756481,3505.21,10724.0,4877.66
2024-11,5,359.2,27.824449680092513,95.0,87.2,57.6,24.38920548111398,97.54095887517727,3340.79,10320.0,4462.22
2024-12,4,366.5,11.269427669584648,106.0,90.75,57.5,11.044039116192954,99.52327791690554,3554.62,10727.0,4790.03
2025-01,6,387.5,22.394195676558695,113.0,96.16666666666667,62.5,17.919088518485907,105.22583954379508,3496.89,10695.0,4487.92
2025-02,4,367.75,27.87322490611136,102.0,92.0,55.0,27.31576040798913,99.8627161089823,3316.59,9660.0,4145.11
2025-03,6,350.6666666666667,25.382408606487033,99.66666666666667,76.66666666666667,55.5,20.310156846049008,95.22372748393327,3735.8,10662.0,4469.18
2025-04,4,338.5,13.076696830622021,98.5,78.5,55.75,12.81516289400958,91.91986241438615,3628.14,10558.0,4404.44
2025-05,4,368.75,13.351029922818686,104.25,87.0,59.5,13.084009324362311,100.1342666626437,3829.11,11338.0,4878.139999999999
2025-06,2,380.0,1.4142135623730951,110.0,88.0,56.5,1.9599999999999997,103.18921039133453,3708.91,10841.0,4594.7300000000005
2025-07,3,409.0,25.514701644346147,113.66666666666667,98.33333333333333,61.666666666666664,28.872602930806224,111.06417644751532,3866.86,11242.0,4918.04
2025-08,4,370.5,37.93415347678132,103.25,90.0,57.75,37.17547040724569,100.60948013155117,3864.91,11182.0,4965.259999999999
2025-09,6,383.3333333333333,29.32348319464566,110.33333333333333,98.0,58.166666666666664,23.46367329393342,104.09437890353921,3763.99,10992.0,4765.08
2025-10,5,383.2,49.72625061272969,116.0,95.6,57.2,43.58698044141163,104.05817216305103,3828.47,11552.0,4817.7300000000005
2025-11,5,381.4,31.20576869747002,113.8,95.4,59.6,27.353062278289787,103.5693811664605,3705.04,11207.0,4820.68
2025-12,6,404.3333333333333,22.809354806014703,109.5,105.83333333333333,64.0,18.251285008032834,109.79694053042874,3919.0,11892.0,5508.63
2026-01,4,437.0,15.31883372410141,124.0,115.5,64.0,15.012457049619382,118.6675919500347,3892.37,12031.0,5228.070000000001
2026-02,4,415.0,22.315913604421397,114.75,106.75,64.0,21.869595332332967,112.69347976948376,3421.08,10886.0,4678.17
2026-03,2,404.5,6.363961030678928,114.5,102.0,66.0,8.819999999999999,109.84219895603898,3897.28,11591.0,4765.39
2026-07,1,384.0,,91.0,87.0,83.0,,104.27541260598015,,,
2026-08,1,415.0,,132.0,112.0,52.0,,112.69347976948376,,,
2026-09,1,419.0,,113.0,86.0,64.0,,113.77968198412938,,,
