day,sat,status,cov,total,port_core,eastern_opl,western_opl,other
20240626,S1A,OK,0.896,368.0,109.0,86.0,59.0,114.0
20240621,S1A,LOWCOV,0.437,,,,,
20240614,S1A,OK,0.868,327.0,99.0,68.0,59.0,101.0
20240609,S1A,LOWCOV,0.436,,,,,
20240602,S1A,OK,0.894,384.0,111.0,82.0,62.0,129.0
20240528,S1A,LOWCOV,0.422,,,,,
20240516,S1A,LOWCOV,0.421,,,,,
20240509,S1A,OK,0.893,353.0,100.0,84.0,59.0,110.0
20240727,S1A,LOWCOV,0.435,,,,,
20240504,S1A,LOWCOV,0.437,,,,,
20240428,S1A,OK,0.99,356.0,101.0,90.0,45.0,120.0
20240427,S1A,OK,0.891,403.0,105.0,97.0,63.0,138.0
20240422,S1A,LOWCOV,0.42,,,,,
20240416,S1A,OK,0.926,271.0,78.0,64.0,37.0,92.0
20240415,S1A,OK,0.899,332.0,79.0,88.0,54.0,111.0
20240521,S1A,OK,0.887,293.0,77.0,72.0,54.0,90.0
20240410,S1A,LOWCOV,0.431,,,,,
20240329,S1A,LOWCOV,0.438,,,,,
20240403,S1A,OK,0.889,336.0,103.0,83.0,44.0,106.0
20240323,S1A,OK,1.0,346.0,108.0,79.0,58.0,101.0
20240322,S1A,OK,0.896,382.0,107.0,99.0,55.0,121.0
20240317,S1A,LOWCOV,0.438,,,,,
20240311,S1A,OK,1.0,400.0,109.0,85.0,58.0,148.0
20240310,S1A,OK,0.895,374.0,91.0,78.0,66.0,139.0
20240708,S1A,OK,0.895,358.0,105.0,80.0,62.0,111.0
20240305,S1A,LOWCOV,0.431,,,,,
20240227,S1A,OK,0.896,431.0,123.0,77.0,83.0,148.0
20240228,S1A,OK,1.0,398.0,117.0,101.0,64.0,116.0
20240404,S1A,OK,0.953,337.0,93.0,97.0,40.0,107.0
20240222,S1A,LOWCOV,0.438,,,,,
20240210,S1A,LOWCOV,0.438,,,,,
20240204,S1A,OK,1.0,376.0,115.0,83.0,67.0,111.0
20240129,S1A,LOWCOV,0.439,,,,,
20240123,S1A,OK,0.989,325.0,90.0,72.0,62.0,101.0
20240122,S1A,OK,0.883,362.0,111.0,82.0,62.0,107.0
20240215,S1A,OK,0.896,397.0,105.0,92.0,80.0,120.0
20240216,S1A,OK,1.0,392.0,127.0,91.0,63.0,111.0
20240117,S1A,LOWCOV,0.435,,,,,
20240110,S1A,OK,0.898,439.0,103.0,85.0,80.0,171.0
20240105,S1A,LOWCOV,0.437,,,,,
20240111,S1A,OK,1.0,420.0,132.0,99.0,66.0,123.0
20240203,S1A,OK,0.896,406.0,105.0,103.0,62.0,136.0
20230510,S1A,LOWCOV,0.437,,,,,
20230127,S1A,OK,0.895,389.0,118.0,88.0,65.0,118.0
20230110,S1A,LOWCOV,0.435,,,,,
20230116,S1A,OK,1.0,395.0,120.0,91.0,78.0,106.0
20221229,S1A,LOWCOV,0.437,,,,,
20221223,S1A,OK,1.0,389.0,129.0,75.0,69.0,116.0
20221222,S1A,OK,0.898,354.0,115.0,80.0,51.0,108.0
20221217,S1A,LOWCOV,0.436,,,,,
20221211,S1A,OK,0.999,380.0,114.0,97.0,64.0,105.0
20221210,S1A,OK,0.856,323.0,83.0,77.0,37.0,126.0
