_id,month,vessel_type,number_of_vessels,gross_tonnage
213,1997-03,Passenger,2945,2124.8
214,1997-03,Barges,1872,1818.95
215,1997-03,Tug,1327,202.73
216,1997-03,Miscellaneous,554,2768.25
217,1997-04,Container,1328,24027.51
218,1997-04,Freighter,828,3572.52
219,1997-04,Bulk Carrier,364,10350.58
220,1997-04,Tanker,1452,21650.04
221,1997-04,Passenger,2749,1665.97
222,1997-04,Barges,1813,1861.12
223,1997-04,Tug,1287,208.97
224,1997-04,Miscellaneous,511,2802.5
225,1997-05,Container,1370,24812.66
226,1997-05,Freighter,835,3380.96
227,1997-05,Bulk Carrier,333,9878.23
228,1997-05,Tanker,1577,23818.64
229,1997-05,Passenger,2932,1805.13
230,1997-05,Barges,1882,1895.52
231,1997-05,Tug,1363,214.26
232,1997-05,Miscellaneous,569,3185.53
233,1997-06,Container,1327,23831.14
234,1997-06,Freighter,844,3539.97
235,1997-06,Bulk Carrier,356,10063.25
236,1997-06,Tanker,1537,21720.86
237,1997-06,Passenger,2941,1926.76
238,1997-06,Barges,1905,1933.38
239,1997-06,Tug,1320,200.18
240,1997-06,Miscellaneous,500,3035.31
241,1997-07,Container,1369,25288.06
242,1997-07,Freighter,875,3673.25
243,1997-07,Bulk Carrier,384,11115.33
244,1997-07,Tanker,1569,22941.83
245,1997-07,Passenger,3039,1896.56
246,1997-07,Barges,2076,2065.14
247,1997-07,Tug,1465,224.79
248,1997-07,Miscellaneous,557,3296.8
249,1997-08,Container,1364,24833.94
250,1997-08,Freighter,830,3646.6
251,1997-08,Bulk Carrier,372,10682.6
252,1997-08,Tanker,1433,23161.27
253,1997-08,Passenger,3180,1972.86
254,1997-08,Barges,2040,2058.06
255,1997-08,Tug,1433,215.23
256,1997-08,Miscellaneous,517,2799.31
257,1997-09,Container,1361,24662.98
258,1997-09,Freighter,859,3980.23
259,1997-09,Bulk Carrier,374,10063.48
260,1997-09,Tanker,1338,20789.09
261,1997-09,Passenger,3207,1869.6
262,1997-09,Barges,2139,2191.62
263,1997-09,Tug,1472,227.55
264,1997-09,Miscellaneous,567,2917.31
265,1997-10,Container,1416,26032.12
266,1997-10,Freighter,867,3597.89
267,1997-10,Bulk Carrier,410,11222.14
268,1997-10,Tanker,1305,24171.67
269,1997-10,Passenger,3397,2061.68
270,1997-10,Barges,2067,2141.71
271,1997-10,Tug,1437,211.61
272,1997-10,Miscellaneous,582,3075.95
273,1997-11,Container,1367,24843.64
274,1997-11,Freighter,844,3770.77
275,1997-11,Bulk Carrier,362,9183.74
276,1997-11,Tanker,1178,20467.85
277,1997-11,Passenger,3402,2426.33
278,1997-11,Barges,1980,2133.25
279,1997-11,Tug,1390,205.86
280,1997-11,Miscellaneous,552,2752.29
281,1997-12,Container,1440,25945.28
282,1997-12,Freighter,804,3578.37
283,1997-12,Bulk Carrier,391,11393.11
284,1997-12,Tanker,1188,22205.53
285,1997-12,Passenger,3999,3392.36
286,1997-12,Barges,1956,2068.83
287,1997-12,Tug,1403,221.99
288,1997-12,Miscellaneous,577,3360.86
289,1998-01,Container,1418,26442
290,1998-01,Freighter,792,3925
291,1998-01,Bulk Carrier,468,13433
292,1998-01,Tanker,1276,23152
293,1998-01,Passenger,3952,2967
294,1998-01,Barges,1716,1846
295,1998-01,Tug,1300,223
296,1998-01,Miscellaneous,557,3384
297,1998-02,Container,1265,23501
298,1998-02,Freighter,764,3516
299,1998-02,Bulk Carrier,365,11908
300,1998-02,Tanker,1117,20924
301,1998-02,Passenger,3456,2507
302,1998-02,Barges,1812,1998
303,1998-02,Tug,1347,225
304,1998-02,Miscellaneous,505,3050
305,1998-03,Container,1486,27665
306,1998-03,Freighter,795,3390
307,1998-03,Bulk Carrier,390,10400
308,1998-03,Tanker,1157,20940
309,1998-03,Passenger,3717,3040
310,1998-03,Barges,2057,2209
311,1998-03,Tug,1529,255
312,1998-03,Miscellaneous,509,2776
313,1998-04,Container,1408,26049
314,1998-04,Freighter,769,3372
315,1998-04,Bulk Carrier,327,8984
316,1998-04,Tanker,1185,20870
317,1998-04,Passenger,3676,2645
318,1998-04,Barges,1800,1988
319,1998-04,Tug,1409,237
320,1998-04,Miscellaneous,521,2981
321,1998-05,Container,1437,26768
322,1998-05,Freighter,797,3626
323,1998-05,Bulk Carrier,353,10134
324,1998-05,Tanker,1256,24180
325,1998-05,Passenger,4034,2831
326,1998-05,Barges,1974,2237
327,1998-05,Tug,1523,258
328,1998-05,Miscellaneous,535,2850
329,1998-06,Container,1405,26294
330,1998-06,Freighter,786,3213
331,1998-06,Bulk Carrier,379,10883
332,1998-06,Tanker,1159,21666
333,1998-06,Passenger,3929,2817
334,1998-06,Barges,1997,2255
335,1998-06,Tug,1499,242
336,1998-06,Miscellaneous,548,3088
337,1998-07,Container,1452,27221
338,1998-07,Freighter,862,3970
339,1998-07,Bulk Carrier,357,10600
340,1998-07,Tanker,1228,23275
341,1998-07,Passenger,3980,2737
342,1998-07,Barges,1980,2233
343,1998-07,Tug,1471,245
344,1998-07,Miscellaneous,585,3249
345,1998-08,Container,1468,27905
346,1998-08,Freighter,841,3735
347,1998-08,Bulk Carrier,350,10693
348,1998-08,Tanker,1179,20546
349,1998-08,Passenger,4202,2743
350,1998-08,Barges,1924,2222
